Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	wheeler232	1546740717.577	    63.429	0	0	0	0	./wrapper1.sh \[-5.0,-5.0,1\] > conn.log
3	wheeler240	1546740717.597	    63.697	0	0	0	0	./wrapper1.sh \[-5.0,-4.6,3\] > conn.log
11	wheeler231	1546740717.669	    64.052	0	0	0	0	./wrapper1.sh \[-5.0,-3.0,11\] > conn.log
2	wheeler228	1546740717.587	    64.180	0	0	0	0	./wrapper1.sh \[-5.0,-4.8,2\] > conn.log
12	wheeler235	1546740717.684	    64.345	0	0	0	0	./wrapper1.sh \[-5.0,-2.8,12\] > conn.log
10	wheeler246	1546740717.660	    64.480	0	0	0	0	./wrapper1.sh \[-5.0,-3.2,10\] > conn.log
8	wheeler230	1546740717.640	    65.061	0	0	0	0	./wrapper1.sh \[-5.0,-3.6,8\] > conn.log
5	wheeler238	1546740717.615	    65.099	0	0	0	0	./wrapper1.sh \[-5.0,-4.2,5\] > conn.log
9	wheeler237	1546740717.649	    65.286	0	0	0	0	./wrapper1.sh \[-5.0,-3.4,9\] > conn.log
6	wheeler236	1546740717.623	    65.491	0	0	0	0	./wrapper1.sh \[-5.0,-4.0,6\] > conn.log
4	wheeler233	1546740717.607	    65.926	0	0	0	0	./wrapper1.sh \[-5.0,-4.4,4\] > conn.log
7	wheeler239	1546740717.632	    66.306	0	0	0	0	./wrapper1.sh \[-5.0,-3.8,7\] > conn.log
16	wheeler228	1546740781.779	    60.713	0	0	0	0	./wrapper1.sh \[-5.0,-2.0,16\] > conn.log
24	wheeler239	1546740783.951	    58.982	0	0	0	0	./wrapper1.sh \[-5.0,-0.4,24\] > conn.log
18	wheeler246	1546740782.153	    60.791	0	0	0	0	./wrapper1.sh \[-5.0,-1.6,18\] > conn.log
15	wheeler231	1546740781.734	    62.219	0	0	0	0	./wrapper1.sh \[-5.0,-2.2,15\] > conn.log
17	wheeler235	1546740782.042	    62.328	0	0	0	0	./wrapper1.sh \[-5.0,-1.8,17\] > conn.log
20	wheeler238	1546740782.725	    62.001	0	0	0	0	./wrapper1.sh \[-5.0,-1.2,20\] > conn.log
14	wheeler240	1546740781.306	    63.578	0	0	0	0	./wrapper1.sh \[-5.0,-2.4,14\] > conn.log
13	wheeler232	1546740781.033	    63.993	0	0	0	0	./wrapper1.sh \[-5.0,-2.6,13\] > conn.log
22	wheeler236	1546740783.126	    62.251	0	0	0	0	./wrapper1.sh \[-5.0,-0.8,22\] > conn.log
19	wheeler230	1546740782.713	    62.767	0	0	0	0	./wrapper1.sh \[-5.0,-1.4,19\] > conn.log
21	wheeler237	1546740782.946	    62.625	0	0	0	0	./wrapper1.sh \[-5.0,-1.0,21\] > conn.log
23	wheeler233	1546740783.545	    62.128	0	0	0	0	./wrapper1.sh \[-5.0,-0.6,23\] > conn.log
25	wheeler228	1546740842.509	    58.712	0	0	0	0	./wrapper1.sh \[-5.0,-0.2,25\] > conn.log
27	wheeler246	1546740842.957	    61.118	0	0	0	0	./wrapper1.sh \[-5.0,0.2,27\] > conn.log
26	wheeler239	1546740842.944	    61.190	0	0	0	0	./wrapper1.sh \[-5.0,0.0,26\] > conn.log
28	wheeler231	1546740843.965	    60.692	0	0	0	0	./wrapper1.sh \[-5.0,0.4,28\] > conn.log
31	wheeler240	1546740844.895	    60.587	0	0	0	0	./wrapper1.sh \[-5.0,1.0,31\] > conn.log
35	wheeler237	1546740845.582	    60.289	0	0	0	0	./wrapper1.sh \[-5.0,1.8,35\] > conn.log
29	wheeler235	1546740844.384	    61.615	0	0	0	0	./wrapper1.sh \[-5.0,0.6,29\] > conn.log
32	wheeler232	1546740845.038	    60.997	0	0	0	0	./wrapper1.sh \[-5.0,1.2,32\] > conn.log
33	wheeler236	1546740845.388	    61.530	0	0	0	0	./wrapper1.sh \[-5.0,1.4,33\] > conn.log
34	wheeler230	1546740845.493	    61.693	0	0	0	0	./wrapper1.sh \[-5.0,1.6,34\] > conn.log
36	wheeler233	1546740845.684	    62.086	0	0	0	0	./wrapper1.sh \[-5.0,2.0,36\] > conn.log
30	wheeler238	1546740844.738	    64.115	0	0	0	0	./wrapper1.sh \[-5.0,0.8,30\] > conn.log
41	wheeler240	1546740905.494	    60.551	0	0	0	0	./wrapper1.sh \[-5.0,3.0,41\] > conn.log
39	wheeler239	1546740904.146	    61.917	0	0	0	0	./wrapper1.sh \[-5.0,2.6,39\] > conn.log
42	wheeler237	1546740905.883	    60.257	0	0	0	0	./wrapper1.sh \[-5.0,3.2,42\] > conn.log
46	wheeler230	1546740907.196	    59.732	0	0	0	0	./wrapper1.sh \[-5.0,4.0,46\] > conn.log
40	wheeler231	1546740904.669	    62.448	0	0	0	0	./wrapper1.sh \[-5.0,2.8,40\] > conn.log
